Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats GC Percent	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Level	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date
GCA_059927665.1	Colletotrichum fructicola		58501285	53	49	3023733	5224494	Chromosome	PacBio RSII	PRJNA1453065	Malus domestica	China: liaoning	2015
GCF_000319635.2	Colletotrichum fructicola Nara gc5	Nara gc5	59542867	53	12	5461344	5461344	Contig	PacBio Sequel	PRJNA171218	strawberry		
GCA_000319635.2	Colletotrichum fructicola Nara gc5	Nara gc5	59542867	53	12	5461344	5461344	Contig	PacBio Sequel	PRJNA171218	strawberry		
GCA_047496645.1	Colletotrichum gardeniae	GUCC 12049	63335798	50	32	4131996	4131996	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	Gardenia jasminoides	China:Yunnan	2018-01-15
GCA_058130335.1	Colletotrichum garzense	CGMCC 3.18948	49886759	53.5	1284	126150	127393	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan province, Tibetan autonomous prefecture of Garz, Litang county	2015-08
GCA_024584535.1	Colletotrichum gigasporum	JS-0367	86997423	48	10	9214307	9214307	Complete Genome	PacBio Sequel; Illumina HiSeq PE	PRJNA742180	Morus alba	South Korea: Inje, Gangwon	2011-07-21
GCA_027406085.1	Colletotrichum gigasporum	HN42	57891463	54.5	10	5477728	5477728	Contig	PacBio Sequel	PRJNA872318		China:hainan province	2018
GCF_011800055.1	Colletotrichum gloeosporioides	Lc1	61904035	51	541	429093	709944	Scaffold	PacBio; Illumina HiSeq	PRJNA577812		China: NFU, Nanjing	2013-08-12
GCA_002189585.1	Colletotrichum gloeosporioides		57603470	53	1781	183416	331788	Scaffold	Illumina	PRJNA377876	Apple	China: Fengxian	2011
GCA_002901105.1	Colletotrichum gloeosporioides	TYU	53008665	49.5	63	1905770	1905770	Contig	PacBio	PRJNA395616	Taxus cuspidata	South Korea: Gyeongsan	2015-09-14
GCA_003243855.1	Colletotrichum gloeosporioides	SMCG1#C	61916549	50.5	25	4696547	5209244	Scaffold	PacBio; Illumina HiSeq	PRJNA471237	Cunninghamia lanceolata	China: Nanjing	2017-05-20
GCA_003568745.1	Colletotrichum gloeosporioides	ES026	58519738	52.5	1129	130450	2508969	Scaffold	Illumina HiSeq	PRJNA488958	Huperzia serrata	China:Wuhan	2005
GCA_003666125.1	Colletotrichum gloeosporioides	Cg01	55772594	53	599	400620	1820057	Scaffold	Illumina HiSeq	PRJNA484086	Huperzia serrata	China: Fujian, Nanping	2012
GCA_011428055.1	Colletotrichum gloeosporioides	COLG-95	53724932	52.5	3634	20870	20957	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011800055.1	Colletotrichum gloeosporioides	Lc1	61904035	51	541	429093	709944	Scaffold	PacBio; Illumina HiSeq	PRJNA577812		China: NFU, Nanjing	2013-08-12
GCA_011947415.1	Colletotrichum gloeosporioides	CgLH19	55563689	52.5	267	442561	553822	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12
GCA_014705165.1	Colletotrichum gloeosporioides	KY332	58002434	52.5	3381	42575	77145	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2013
GCA_019022565.1	Colletotrichum gloeosporioides	hn1205-1	57144918	52.5	736	275152	319924	Scaffold	Illumina	PRJNA690880	Hevea brasiliensis Muell.-Arg	China:Danzhou	2012-05
GCA_021650765.1	Colletotrichum gloeosporioides	CgDa01	62777491	50	28	5448682	5448682	Contig	Illumina NovaSeq and Oxford Nanopore PromethION	PRJNA792738	Dioscorea alata	China: Nanjing	2019-08-26
GCA_027406185.1	Colletotrichum gloeosporioides	GZ15	57836396	51.5	18	5204641	5204641	Contig	PacBio Sequel	PRJNA872318		China:guizhou province	2018
GCA_029169055.1	Colletotrichum gloeosporioides	JS-0417	65303477	48	24	5584352	5584352	Contig	Illumina HiSeq (PE + MP); PacBio Sequel	PRJNA784997	Suaeda japonica	South Korea: Suncheon, Jeollanam-do	2011-09-15
GCA_040955525.1	Colletotrichum gloeosporioides		57766488	53.5	2270	167916	177688	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Stanford	2010
GCA_040955545.1	Colletotrichum gloeosporioides		56132952	53.5	2391	174318	182339	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Wake	2010
GCA_040955925.1	Colletotrichum gloeosporioides		73275568	54	35516	121109	135875	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Franklin	2010
GCA_046563635.1	Colletotrichum gloeosporioides	NWUHS001	56820171	52.5	27	3366555	3366555	Contig	Oxford Nanopore	PRJNA1028833	Huperzia serrata	China:Shannxi	2019-05
GCA_049998905.1	Colletotrichum gloeosporioides		59191114	53	3461	181571	201911	Scaffold	Illumina NovaSeq	PRJNA1090952		USA:North Carolina, Stanford	2010
GCA_056825315.1	Colletotrichum gloeosporioides		59916142	52.5	21	5028861	5028861	Contig	Oxford Nanopore	PRJNA1082901	apple	China	2020-08-06
GCA_021432615.1	Colletotrichum gloeosporioides 23	23	58838139	52.5	774	177473	2304310	Scaffold	Illumina	PRJNA196038		missing	not collected
GCA_000446055.1	Colletotrichum gloeosporioides Cg-14	Cg-14	53209944	53.5	4537	25337	25337	Contig	454	PRJNA176412	avocado cv. Fuente	Israel	
GCF_030913485.1	Colletotrichum godetiae	CBS 193.32	51652851	52	194	737523	737523	Contig	PacBio	PRJNA333328	not applicable	missing	missing
GCA_001663355.1	Colletotrichum godetiae	C184	35034269	52.5	7086	17039	48837	Scaffold	Illumina HiSeq	PRJNA315612	Olea europaea	Italy: Apulia	2012-11
GCA_030913485.1	Colletotrichum godetiae	CBS 193.32	51652851	52	194	737523	737523	Contig	PacBio	PRJNA333328	not applicable	missing	missing
GCA_057627405.1	Colletotrichum godetiae	IMI351589	49935395	52	390	245431	373584	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Ireland	1992
GCA_057627445.1	Colletotrichum godetiae	IMI351262	50479061	51.5	351	275039	569701	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Belgium	1992
GCA_057627465.1	Colletotrichum godetiae	IMI351255	48716395	52	721	114969	169998	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	United Kingdom	1992
GCA_057627495.1	Colletotrichum godetiae	IMI351253	49000279	52	1444	56739	69819	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	United Kingdom	1992
GCA_057924735.1	Colletotrichum godetiae	CREADC-F2271	50041321	51.5	512	272680	340578	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Costa di Rovigo	2017-07-26
GCA_057924835.1	Colletotrichum godetiae	CREADC-F2270	50030909	51.5	524	276931	344710	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Costa di Rovigo	2017-07-26
GCA_058130355.1	Colletotrichum gracile	CGMCC 3.16075	56408470	53	587	425791	471901	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guizhou province, Nayong county	2018-08
GCA_001951205.1	Colletotrichum graminicola	M5.001	59914086	45.5	8455	16615	16615	Contig	454	PRJNA354205	Zea mays	Brazil	1980
GCA_026652225.1	Colletotrichum graminicola		53778362	48	6945	46093	80217	Scaffold	Illumina MiSeq	PRJNA815473	Zea mays	Argentina: Pergamino	2012
GCA_026652245.1	Colletotrichum graminicola	CBS 252.59	44929710	52.5	5261	23346	23449	Scaffold	Illumina HiSeq	PRJNA815638	Zea mays	Netherlands: Wageningen	1959
GCA_026652265.1	Colletotrichum graminicola		57829245	46.5	4474	52303	102284	Scaffold	Illumina MiSeq	PRJNA815636	Zea mays	Canada: Leamington	2012
GCA_026652275.1	Colletotrichum graminicola		59226624	45.5	1524	101245	113312	Scaffold	Illumina MiSeq	PRJNA815632	Zea mays	Canada: Chatman	2012
GCA_026652285.1	Colletotrichum graminicola		58978423	45.5	7648	19860	20130	Scaffold	Illumina HiSeq	PRJNA815644	Zea mays	Croatia: Rugvica	2011
GCA_026652305.1	Colletotrichum graminicola	CBS 113173	51539737	49	3760	87976	99157	Scaffold	Illumina HiSeq	PRJNA815639	Zea mays	Zimbabwe	1960
GCA_026652315.1	Colletotrichum graminicola		59309189	45.5	1374	102931	102931	Scaffold	Illumina MiSeq	PRJNA815831	Zea mays	Croatia: Rugvica	2010
GCA_026652355.1	Colletotrichum graminicola		43145614	54	1562	86273	93605	Scaffold	Illumina HiSeq	PRJNA815832	Zea mays	Germany	2013
GCA_026652695.1	Colletotrichum graminicola		50305269	49.5	4339	80848	86609	Scaffold	Illumina HiSeq	PRJNA815857	Zea mays	USA: Michigan	2005
GCA_026652705.1	Colletotrichum graminicola		60257832	45.5	1173	123830	326891	Scaffold	Illumina MiSeq	PRJNA815858	Zea mays	Portugal: Alvalade	2014
GCA_026652995.1	Colletotrichum graminicola		60620047	45.5	1358	116107	254850	Scaffold	Illumina MiSeq	PRJNA815862	Zea mays	Switzerland: Zurich	2012
GCA_026653275.1	Colletotrichum graminicola		51324951	49	12728	17486	17646	Scaffold	Illumina HiSeq	PRJNA815829	Zea mays	Croatia: Rugvica	2010
GCA_026653375.1	Colletotrichum graminicola		49480776	50	11689	16923	17026	Scaffold	Illumina HiSeq	PRJNA815838	Zea mays	France: Garlin	2012
GCA_026653475.1	Colletotrichum graminicola		52363910	48.5	11209	17547	17648	Scaffold	Illumina HiSeq	PRJNA815839	Zea mays	France: Garlin	2012
GCA_026653595.1	Colletotrichum graminicola		43764066	53.5	5186	21336	21353	Scaffold	Illumina HiSeq	PRJNA815847	Zea mays	France: Garlin	2012
GCA_026653705.1	Colletotrichum graminicola		49263723	49.5	3569	81286	86576	Scaffold	Illumina HiSeq	PRJNA815850	Zea mays	Nigeria	1990
GCA_026654635.1	Colletotrichum graminicola		49923410	54	2887	59235	67010	Scaffold	Illumina HiSeq	PRJNA815856	Zea mays	USA: Alabama	2005
GCA_026656465.1	Colletotrichum graminicola		48885120	50.5	9327	21033	21033	Scaffold	Illumina HiSeq	PRJNA815863	Zea mays	Switzerland: Zurich	2012
GCA_029226625.1	Colletotrichum graminicola		57426633	46	18	5007504	6444216	Chromosome	PacBio RSII; Illumina NovaSeq	PRJNA900520	Zea mays	USA: Missouri	1978
GCA_030463195.1	Colletotrichum graminicola	T1-3-3	60699984	45.5	103	1079996	1521315	Scaffold	Illumina; PacBio	PRJNA875224	corn	China	2018-09-01
GCF_000149035.1	Colletotrichum graminicola M1.001	M1.001	51604658	49	1151	228959	579194	Scaffold	454; Sanger	PRJNA37879			
GCA_000149035.1	Colletotrichum graminicola M1.001	M1.001	51604658	49	1151	228959	579194	Scaffold	454; Sanger	PRJNA37879			
GCA_000313795.2	Colletotrichum higginsianum	IMI 349063	49084868	55	10282	6147	6147	Scaffold		PRJNA47061			
GCA_004920355.1	Colletotrichum higginsianum	MAFF305635-RFP	49786461	54.5	28	5064939	5064939	Contig	PacBio	PRJNA352900	Brassica rapa var. perviridis	missing	missing
GCA_023705605.1	Colletotrichum higginsianum	MAFF 245053	49069799	54.5	27	4389193	4389193	Contig	PacBio RS2	PRJDB11870	Scopolia japonica	Japan:Hokkaido	2014-07
GCF_001672515.1	Colletotrichum higginsianum IMI 349063	IMI 349063	50716103	54.5	25	5201688	5201688	Chromosome	PacBio P5-C3 chemistry	PRJNA47061	Brassica rapa subsp. chinensis	Trinidad and Tobago: Trinidad	1991-04-24
GCA_001672515.1	Colletotrichum higginsianum IMI 349063	IMI 349063	50716103	54.5	25	5201688	5201688	Chromosome	PacBio P5-C3 chemistry	PRJNA47061	Brassica rapa subsp. chinensis	Trinidad and Tobago: Trinidad	1991-04-24
GCA_027406005.1	Colletotrichum horii	PLG3	68458539	46.5	17	8175915	8175915	Contig	PacBio Sequel	PRJNA872318		China:guangxi province	2019
GCA_019693695.1	Colletotrichum horii	FJ-1	74324508	47	42	3135412	3135412	Contig	Oxford Nanopore	PRJNA748574	Persimmon	China:Yangling	2020-06-30
GCA_049996515.1	Colletotrichum horii	SD010	75154806	46.5	53	2568590	2568590	Contig	PacBio RSII; Illumina HiSeq	PRJNA725041	persimmon	China:Shandong	2017-10-01
GCA_001625285.1	Colletotrichum incanum	MAFF 238704	53597417	52	2908	177164	177164	Scaffold	Illumina HiSeq	PRJNA286717	Raphanus sativus L. Daikon Group	Japan: Miyazaki Prefecture	1998-10
GCA_001855235.1	Colletotrichum incanum	MAFF238712	53254579	52	6302	39757	292512	Scaffold	Illumina GAIIx	PRJNA267650	Raphanus sativus var. longipinnatus	Japan: Kagoshima	1995-09
GCA_047496555.1	Colletotrichum jiangxiense	GUCC 12055	57568999	52.5	14	5020161	5020161	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	Fatsia japonica	China:Guizhou	2017-09-06
GCF_051148585.1	Colletotrichum jinshuiense		52104089	53	15	5052393	5052393	Complete Genome	PacBio	PRJNA1080248	Coptis chinensis Franch	China: Enshi	2019-06
GCA_051148585.1	Colletotrichum jinshuiense		52104089	53	15	5052393	5052393	Complete Genome	PacBio	PRJNA1080248	Coptis chinensis Franch	China: Enshi	2019-06
GCA_032988895.1	Colletotrichum kahawae	CIFC_Que2	59071264	52.5	1173	133039	199181	Scaffold	Illumina MiSeq	PRJNA564749	Coffea arabica	Kenya	1988
GCF_011947395.1	Colletotrichum karsti	CkLH20	51850041	52.5	203	460919	857663	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12
GCA_011947395.2	Colletotrichum karsti	CkLH20	51850041	52.5	203	460919	857663	Scaffold	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12
GCA_038051215.1	Colletotrichum karsti		53225131	52.5	808	424276	582313	Scaffold	Illumina NovaSeq	PRJNA1086525	rose	South Africa: Potchefstroom	2021-10
GCA_036785755.1	Colletotrichum ledebouriae	CBS 141284	145951786	36.5	12360	34954	34954	Contig	DNBSEQ-G400	PRJNA1008866	Ledebouria floribunda	South Africa: Eastern Cape Province, Haga Haga	2014-12
GCA_003386485.1	Colletotrichum lentis		56100083	50	2980	50944	4891426	Scaffold	Illumina	PRJNA407672	Lentil	Canada: Drinkwater, Saskatchewan	2001
GCA_027406045.1	Colletotrichum liaoningense	YN33	51853301	52	13	4641664	4641664	Contig	PacBio Sequel	PRJNA872318		China:yunnan province	2018
GCA_030413865.1	Colletotrichum limetticola		50483870	53	1808	67018	68638	Scaffold	Illumina NovaSeq	PRJNA952538	Citrus x aurantiifolia	USA: Florida, Lake Alfred area	2000-03
GCA_054857455.1	Colletotrichum limetticola	05-262	50236333	53	1947	60722	62409	Scaffold	Illumina NovaSeq	PRJNA1394990	Citrus x aurantiifolia	USA: Florida	2000
GCA_001693025.3	Colletotrichum lindemuthianum	89 A2 2-3	100390507	37.5	120	2180353	2180353	Scaffold	PacBio Sequel; Illumina HiSeq	PRJNA325493		Brazil	2010
GCA_001693015.2	Colletotrichum lindemuthianum	83.501	97411422	37.5	2282	100419	111275	Scaffold	Illumina HiSeq	PRJNA325493		Brazil	2010
GCA_041941805.1	Colletotrichum lindemuthianum	Cl-P0/RAZA-0	90129135	39	26327	29293	31463	Scaffold	Illumina NovaSeq	PRJNA1147206	Phaseolus vulgaris	Mexico	1996
GCA_041941825.1	Colletotrichum lindemuthianum	Cl-P1088/RAZA-1088R	89293694	39	29634	26098	28426	Scaffold	Illumina NovaSeq	PRJNA1147206	Phaseolus vulgaris	Mexico	1992
GCA_041941845.1	Colletotrichum lindemuthianum	Cl-P1472/RAZA-1472	90088164	39	24602	30173	33052	Scaffold	Illumina NovaSeq	PRJNA1147206	Phaseolus vulgaris	Mexico	1996
GCA_041941875.1	Colletotrichum lindemuthianum	Cl-P2395/RAZA-2395	92401124	38.5	28823	27987	30248	Scaffold	Illumina NovaSeq	PRJNA1147206	Phaseolus vulgaris	Mexico	2017
GCA_059492005.1	Colletotrichum lini	655-1	54657639	54	13	5849364	5849364	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_034638215.1	Colletotrichum lini	771	54970441	54	30	5513638	5513638	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_034638235.1	Colletotrichum lini	390-1	55218207	54	31	5167518	5167518	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_034638275.1	Colletotrichum lini	757	54018360	54	26	5802763	5802763	Contig	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_043790985.1	Colletotrichum lini	394-2	53648951	54	12	5803347	5803347	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum	not applicable	not collected
GCA_059492035.1	Colletotrichum lini	391-4	54489426	54	13	5759874	5759874	Complete Genome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_059492065.1	Colletotrichum lini	390-3	54426042	54	14	5761607	5761607	Chromosome	Oxford Nanopore PromethION; Illumina NovaSeq	PRJNA929545	Linum usitatissimum L.	not applicable	not collected
GCA_022179045.1	Colletotrichum liriopes	MAFF 242679	52972150	53	82	1221453	1221453	Contig	PacBio RS2	PRJDB11870	Rohdea japonica	Japan:Gunma	2010-10
GCA_015832465.1	Colletotrichum liriopes	A2	53087791	52.5	407	288433	288433	Contig	Illumina	PRJNA669110	Ophiopogon japonicus	China:Zhejiang	2019-07-21
GCA_029034635.1	Colletotrichum liriopes	CBS 119444	53305150	53	1580	264149	266796	Scaffold	Illumina MiSeq	PRJNA868772	Liriope	Mexico	missing
GCA_029034655.1	Colletotrichum liriopes	PC 22-5	52784357	53	1649	298330	317043	Scaffold	Illumina MiSeq	PRJNA868772	Liriope	USA: Maryland	missing
GCA_029035315.1	Colletotrichum liriopes	PC 22-1	88115172	51	1304	431470	544794	Scaffold	Illumina MiSeq	PRJNA868772	Liriope	Colombia	missing
GCF_023278565.1	Colletotrichum lupini	IMI 504893	63407421	46.5	11	7871922	7871922	Complete Genome	PacBio	PRJNA360503	Lupinus albus	France: Pays de la Loire, Saint Pierre du Chemin	2014-06-22
GCA_023278565.1	Colletotrichum lupini	IMI 504893	63407421	46.5	11	7871922	7871922	Complete Genome	PacBio	PRJNA360503	Lupinus albus	France: Pays de la Loire, Saint Pierre du Chemin	2014-06-22
GCA_030913515.1	Colletotrichum lupini	CBS 109225	58756634	47.5	116	918987	918987	Contig	PacBio	PRJNA333340	not applicable	missing	missing
GCA_045682545.1	Colletotrichum lupini	IMI 504884	59367337	47.5	681	173061	244027	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	Canada	missing
GCA_045682565.1	Colletotrichum lupini	JA23	57227283	48.5	2026	82774	99057	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	Ecuador: Cotopaxi	2015
GCA_045682585.1	Colletotrichum lupini	Lup18	58344032	48	1311	115006	145027	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	Ecuador: Pujili	2007
GCA_045682595.1	Colletotrichum lupini	JA20	54487988	50	1824	75755	88678	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	Peru: Carhuaz	2019
GCA_045682605.1	Colletotrichum lupini	JA21	59092628	47.5	1604	91318	92736	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	Peru: Carhuaz	2019
GCA_045682645.1	Colletotrichum lupini	Lup1	59432287	47.5	948	159826	216156	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	Ecuador: Juan Montalvo	2007
GCA_045682665.1	Colletotrichum lupini	A-24	56967146	49	2451	66876	74941	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	Chile: Temuco	2015
GCA_045682685.1	Colletotrichum lupini	A-02	61382829	47.5	1288	109829	130088	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	Chile: Cajon	2009
GCA_045682715.1	Colletotrichum lupini	JA13	58146901	48.5	2825	64485	74512	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus mutabilis	USA: Florida	2013
GCA_045682785.1	Colletotrichum lupini	CMW 9933	56954558	49	2424	64643	73611	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	South Africa: Malmsebury	1999
GCA_045682845.1	Colletotrichum lupini	CMW 9930	62394362	47	1328	117745	141668	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	South Africa: Bethelem	1994
GCA_045682895.1	Colletotrichum lupini	CMW 9931	62689264	47	1120	139024	187901	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	South Africa: Stellenbosch	1995
GCA_045682915.1	Colletotrichum lupini	JA01	56105501	49.5	2312	62724	75009	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	Switzerland: Mellikon	2018
GCA_045682935.1	Colletotrichum lupini	IMI 375715	62482225	47	1198	123754	147906	Scaffold	Illumina NovaSeqX Plus	PRJNA1099210	Lupinus albus	Australia: West Australia	1997
GCA_054857575.1	Colletotrichum lupini	BBA70399	60829286	47.5	4128	62598	64178	Scaffold	Illumina NovaSeq	PRJNA1395303	Lupinus albus	Austria	1995
GCA_054857585.1	Colletotrichum lupini	CMG12	63006435	47	2971	76795	80943	Scaffold	Illumina NovaSeq	PRJNA1395141	Cinnamonium zeylanicum	Portugal	2000
GCA_054857605.1	Colletotrichum lupini	RB147	61816652	47	3412	64508	67848	Scaffold	Illumina NovaSeq	PRJNA1395329	Lupinus sp.	United Kingdom	1996
GCA_054857695.1	Colletotrichum lupini	RB072	62950144	47	745	216398	225824	Scaffold	Illumina NovaSeq	PRJNA1395338	Lupinus albus	Germany	2001
GCA_054857745.1	Colletotrichum lupini	UBOCC-A-118097	62860350	47	1285	120869	126614	Scaffold	Illumina NovaSeq	PRJNA1395505	Lupinus albus	France	2016
GCA_054858265.1	Colletotrichum lupini	RB119	62763090	47	1457	122595	130074	Scaffold	Illumina NovaSeq	PRJNA1395364	Lupinus albus	Germany	1995
GCA_054858345.1	Colletotrichum lupini	RB124	62616896	47	2043	100424	108625	Scaffold	Illumina NovaSeq	PRJNA1395365	Lupinus albus	Chile	2000
GCA_054858365.1	Colletotrichum lupini	RB235	59566513	47.5	485	269593	288377	Scaffold	Illumina NovaSeq	PRJNA1395344	Lupinus albus	France	1996
GCA_054858375.1	Colletotrichum lupini	RB020	61527007	47	3049	78654	81647	Scaffold	Illumina NovaSeq	PRJNA1395362	Lupinus albus	Portugal	1999
GCA_054858455.1	Colletotrichum lupini	RB120	58116794	48.5	3549	58927	60087	Scaffold	Illumina NovaSeq	PRJNA1395387	Lupinus polyphyllus	Australia	1996
GCA_054858485.1	Colletotrichum lupini	RB116	58986978	48	3712	57078	58411	Scaffold	Illumina NovaSeq	PRJNA1395371	Lupinus polyphyllus	United Kingdom	1998
GCA_054858555.1	Colletotrichum lupini	RB122	62323050	47	1426	121901	134783	Scaffold	Illumina NovaSeq	PRJNA1395368	Lupinus luteus	Poland	1997
GCA_054858635.1	Colletotrichum lupini	UBOCC-A-118146	62809412	47	1306	111434	130687	Scaffold	Illumina NovaSeq	PRJNA1395389	Lupinus albus	France	2014
GCA_054858645.1	Colletotrichum lupini	UBOCC-A-118147	62806897	47	1184	128837	130563	Scaffold	Illumina NovaSeq	PRJNA1395507	Lupinus albus	France	2015
GCA_054858695.1	Colletotrichum lupini	UBOCC-A-118136	62867010	47	1309	124243	133582	Scaffold	Illumina NovaSeq	PRJNA1395511	Lupinus albus	France	2014
GCA_054858815.1	Colletotrichum lupini	UBOCC-A-117294	63102343	47	1838	105073	115336	Scaffold	Illumina NovaSeq	PRJNA1395510	Lupinus albus	France	2017
GCA_022457145.1	Colletotrichum magnum	WT	57112935	50.5	684	155486	159803	Scaffold	Illumina MiSeq	PRJNA777582	watermelon	USA	1989
GCA_030868995.1	Colletotrichum melonis		50135825	52	110	2830390	2830390	Scaffold	Illumina MiSeq	PRJNA348398	Malus domestica	Brazil: Rio Grande do Brazil	2014
GCA_058130315.1	Colletotrichum menglaense	CGMCC 3.18958	59140509	52	207	907180	989000	Scaffold	Illumina NovaSeq	PRJNA1452218		China: Xishuangbanna dai autonomous prefecture, Tropical forest of xishuangbanna tropical botanical garden chinese academy of sciences	2016-07
GCA_027406025.1	Colletotrichum musae	GZ23	60479243	49.5	14	6123291	6123291	Contig	PacBio Sequel	PRJNA872318		China:guizhou province	2018
GCA_002814275.1	Colletotrichum musae	GM20	49118800	53.5	12435	7105	7105	Contig	Illumina HiSeq	PRJNA407219	Musa	Brazil: Pernambuco	2016-01-24
GCA_014235935.1	Colletotrichum musicola	LFN0074	52725698	55	2791	41073	46381	Scaffold	Illumina MiSeq	PRJNA577394	Glycine max	Brazil: Lucas do Rio Verde, Mato Grosso	2017-03-01
GCA_056956795.1	Colletotrichum nanhuaense	CGMCC 3.18962	60094826	51.5	389	688666	785038	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Nanhua county	2017-08
GCF_030913465.1	Colletotrichum navitas	CBS 125086	52434554	48.5	702	318299	318299	Contig	PacBio	PRJNA262371	not applicable	missing	missing
GCA_030913465.1	Colletotrichum navitas	CBS 125086	52434554	48.5	702	318299	318299	Contig	PacBio	PRJNA262371	not applicable	missing	missing
GCA_036785495.1	Colletotrichum neosansevieriae	CBS 139918	78944493	40.5	1347	179132	179132	Contig	DNBSEQ-G400	PRJNA1009234	Dracaena trifasciata	South Africa: Gauteng	2014-09
GCA_059628155.1	Colletotrichum nigrum	C21KSPeF19	51345418	53.5	1460	536066	536066	Contig	Illumina	PRJNA1479150	not collected	Russia: Krasnodar Krai	2021
GCA_026319125.1	Colletotrichum noveboracense	PMBrms-1	59086795	52.5	1494	177618	177618	Contig	BGI DNBSEQ	PRJNA858866	Malus domestica	USA	2018
GCA_026319155.1	Colletotrichum noveboracense	Coll940	58178553	52.5	1054	148120	168995	Scaffold	BGI DNBSEQ	PRJNA858866	Juglans nigra	USA	2013
GCA_946151405.1	Colletotrichum noveboracense		58097859	52	4510	27185	27185	Contig	Ion Torrent S5	PRJEB33601	Malus domestica	USA	2017-07
GCA_026319135.1	Colletotrichum nupharicola	CBS470	58756237	52.5	1734	137573	137573	Contig	BGI DNBSEQ	PRJNA858866	Nuphar lutea	USA	2013
GCA_026319225.1	Colletotrichum nupharicola	Coll922	72741875	50	14073	45676	45676	Contig	BGI DNBSEQ	PRJNA858866	Nuphar lutea	USA	2013
GCA_057627415.1	Colletotrichum nymphaeae	IMI351587	50317320	52	108	1117072	6164866	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	USA	1992
GCA_014705085.1	Colletotrichum nymphaeae	KY613	50577973	52	2610	39463	138789	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2016-06-03
GCA_014705095.1	Colletotrichum nymphaeae	KY567	51509711	52.5	4860	39466	127617	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2015
