assembly_accession	organism_name	organism_infraspecific_names_strain	assembly_stats_total_sequence_length	assembly_stats_gc_percent	assembly_stats_number_of_contigs	assembly_stats_contig_n50	assembly_stats_scaffold_n50	assembly_level	assembly_sequencing_tech	assembly_bio_project_accession	assembly_bio_sample_host	assembly_bio_sample_geographic_location	assembly_bio_sample_collection_date	genome_size_mb	gc_percent	contig_count	contig_n50_kb	scaffold_n50_kb	refseq	assembly_priority	fragmentation
GCA_025329385.1	Colletotrichum sp. SAR 10_98	SAR 10_98	56034424	52.5	1197	116100	116100	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected	56.034424	52.5	1197	116.1	116.1	FALSE	1	Moderate
GCA_028654355.1	Colletotrichum sp. SAR 10_99	SAR 10_99	56736506	52.5	1373	99053	99053	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected	56.736506	52.5	1373	99.053	99.053	FALSE	2	Moderate
GCA_025328985.1	Colletotrichum sp. SAR11_239	SAR11_239	58100508	52	1160	145788	145788	Scaffold	Illumina MiSeq	PRJNA728692	Theobroma cacao	Indonesia	not collected	58.100508	52	1160	145.788	145.788	FALSE	2	Moderate
GCA_025328625.1	Colletotrichum sp. SAR11_240	SAR11_240	60035199	51.5	1034	134203	134203	Scaffold	Illumina MiSeq	PRJNA728692	Persea americana	Indonesia	not collected	60.035199	51.5	1034	134.203	134.203	FALSE	2	Moderate
GCA_025328355.1	Colletotrichum sp. SAR11_57	SAR11_57	55451972	53	1795	97317	97546	Scaffold	Illumina MiSeq	PRJNA728692	Persea americana	Panama	not collected	55.451972	53	1795	97.317	97.546	FALSE	2	High
GCA_025328345.1	Colletotrichum sp. SAR11_59	SAR11_59	65090038	49	2878	80323	80713	Scaffold	Illumina MiSeq	PRJNA728692	Mangifera indica	Panama	not collected	65.090038	49	2878	80.323	80.713	FALSE	2	High
GCF_022836535.1	Colletotrichum spaethianum	MAFF 239500	50915707	51	84	1120470	1120470	Contig	PacBio RS2	PRJDB11870	Polygonatum falcatum	Japan:Kagawa	2001-05	50.915707	51	84	1120.47	1120.47	TRUE	1	Low
GCA_058130255.1	Colletotrichum speciosum	CGMCC 3.16081	49630115	52.5	76	2047185	2406244	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Simao county	2016-08	49.630115	52.5	76	2047.185	2406.244	FALSE	2	Low
GCA_058130235.1	Colletotrichum spicati	CGMCC 3.18942	53071071	53	604	566587	640552	Scaffold	Illumina NovaSeq	PRJNA1452218	Myriophyllum spicatum	China: Guizhou province, Weining county, Caohai nature reserve	2015-08	53.071071	53	604	566.587	640.552	FALSE	2	Moderate
GCA_004366825.1	Colletotrichum spinosum	CBS 515.97	82734851	38.5	10895	56120	93593	Scaffold	Illumina HiSeq	PRJNA445190	Xanthium spinosum	Australia:New South Wales	1983-03-20	82.734851	38.5	10895	56.12	93.593	FALSE	2	High
GCA_058130215.1	Colletotrichum subhenanense	CGMCC 3.16073	58863695	52	1228	323542	328529	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Cangyuan county	2016-08	58.863695	52	1228	323.542	328.529	FALSE	2	Moderate
GCA_030867325.1	Colletotrichum sublineola	S3.001	46916122	53	1675	63545	83759	Scaffold	Illumina	PRJNA262370	not applicable	missing	missing	46.916122	53	1675	63.545	83.759	FALSE	2	High
GCA_036851105.1	Colletotrichum tabaci	YC1	52145981	54	58	3611167	3611167	Contig	PacBio RSII	PRJNA962315	Nicotiana tabacum	China	2020-08-20	52.145981	54	58	3611.167	3611.167	FALSE	1	Low
GCF_030869305.1	Colletotrichum tamarilloi	Tom-12	52071711	51	605	410822	410822	Scaffold	Illumina MiSeq	PRJNA348678	Solanum betaceum	Colombia: Antioquia, Santa Rosa	1998	52.071711	51	605	410.822	410.822	TRUE	2	Moderate
GCA_005350895.1	Colletotrichum tanaceti	NA	57912474	49.5	6408	36517	103135	Scaffold	Illumina	PRJNA421029	Tanacetum cinerariifolium	Australia:University of Melbourne, Parkville	2013	57.912474	49.5	6408	36.517	103.135	FALSE	2	High
GCA_058130175.1	Colletotrichum tengchongense	CGMCC 3.18950	56964709	52.5	602	338523	355482	Scaffold	Illumina NovaSeq	PRJNA1452218	Isoetes sinensis	China: Yunnan province, Tengchong city	2014-08	56.964709	52.5	602	338.523	355.482	FALSE	2	Moderate
GCA_057627875.1	Colletotrichum theobromicola	IMI324985	56137359	52.5	325	395011	544046	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA	1988	56.137359	52.5	325	395.011	544.046	FALSE	2	Moderate
GCA_001618735.1	Colletotrichum tofieldiae	CBS 130851	53216229	52.5	477	364528	364528	Scaffold	Illumina HiSeq	PRJNA286720	Semele androgyna	Germany: Berlin	2010-12	53.216229	52.5	477	364.528	364.528	FALSE	2	Moderate
GCA_004367215.1	Colletotrichum trifolii	543-2	109659959	36.5	16095	26965	35434	Scaffold	Illumina HiSeq; PacBio RSII	PRJNA506861	Medicago sativa	Japan: Chiba	1966	109.659959	36.5	16095	26.965	35.434	FALSE	2	High
GCA_060697215.1	Colletotrichum tropicale	PPO96	56660673	52.5	149	690988	1054543	Scaffold	NovaSeq6000	PRJNA1489783	NA	Japan: Okinawa Prefecture, Itoman	2021-11	56.660673	52.5	149	690.988	1054.543	FALSE	2	Moderate
GCA_025962755.1	Colletotrichum tropicicola	FJ4	55108579	54.5	1074	113007	120602	Scaffold	Illumina NovaSeq	PRJNA889704	Guanxi pomelo	China:Fujian	2018	55.108579	54.5	1074	113.007	120.602	FALSE	2	Moderate
GCA_011947275.1	Colletotrichum truncatum	KLC.C- 4	44146251	49.5	1396	58895	1509490	Scaffold	Illumina HiSeq	PRJNA594831	Capsicum annuum	India: kurnool	2014-12-22	44.146251	49.5	1396	58.895	1509.49	FALSE	2	Moderate
GCA_013201765.1	Colletotrichum viniferum	CGW01	68452207	47	6103	107975	144434	Scaffold	Illumina HiSeq	PRJNA476648	grape	Japan:Hiroshima	2012-08	68.452207	47	6103	107.975	144.434	FALSE	2	High
GCA_058130195.1	Colletotrichum vulgaris	CGMCC 3.18940	49165815	54	1316	127419	136893	Scaffold	Illumina NovaSeq	PRJNA1452218	Hippuris vulgaris	China: Sichuan province, Tibetan autonomous prefecture of Garz, Baiyu county	2015-08	49.165815	54	1316	127.419	136.893	FALSE	2	Moderate
GCA_058130155.1	Colletotrichum yuanjiangense	CGMCC 3.18964	57718958	52	849	484413	496558	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Yuanjiang county	2017-08	57.718958	52	849	484.413	496.558	FALSE	2	Moderate
GCA_030867305.1	Colletotrichum zoysiae	MAFF 238573	46533813	54	840	129783	179109	Scaffold	Illumina	PRJNA262217	not applicable	missing	missing	46.533813	54	840	129.783	179.109	FALSE	2	Moderate
